ref_date,geo,noc_code,noc_desc,job_char,total_vacancies,sentiment_score,predicted_total_vacancies
2019-01-01,Canada,1,"Business, finance and administration occupations",Part-time,8295.0,1.826354,
2019-01-01,Canada,1,"Business, finance and administration occupations","Type of work, all types",66115.0,1.826354,
2019-01-01,Canada,2,Natural and applied sciences and related occupations,Full-time,45340.0,1.826354,
2019-01-01,Canada,2,Natural and applied sciences and related occupations,Part-time,1130.0,1.826354,
2019-01-01,Canada,2,Natural and applied sciences and related occupations,"Type of work, all types",46470.0,1.826354,
2019-01-01,Canada,3,Health occupations,Full-time,17510.0,1.826354,
2019-01-01,Canada,3,Health occupations,Part-time,21925.0,1.826354,
2019-01-01,Canada,3,Health occupations,"Type of work, all types",39435.0,1.826354,
2019-01-01,Canada,4,"Occupations in education, law and social, community and government services",Full-time,19495.0,1.826354,
2019-01-01,Canada,4,"Occupations in education, law and social, community and government services",Part-time,15150.0,1.826354,
2019-01-01,Canada,4,"Occupations in education, law and social, community and government services","Type of work, all types",34640.0,1.826354,
2019-01-01,Canada,5,"Occupations in art, culture, recreation and sport",Full-time,8020.0,1.826354,
2019-01-01,Canada,5,"Occupations in art, culture, recreation and sport",Part-time,5235.0,1.826354,
2019-01-01,Canada,5,"Occupations in art, culture, recreation and sport","Type of work, all types",13255.0,1.826354,
2019-01-01,Canada,6,Sales and service occupations,Full-time,96360.0,1.826354,
2019-01-01,Canada,6,Sales and service occupations,Part-time,67480.0,1.826354,
2019-01-01,Canada,6,Sales and service occupations,"Type of work, all types",163840.0,1.826354,
2019-01-01,Canada,7,"Trades, transport and equipment operators and related occupations",Full-time,84830.0,1.826354,
2019-01-01,Canada,7,"Trades, transport and equipment operators and related occupations",Part-time,9075.0,1.826354,
2019-01-01,Canada,7,"Trades, transport and equipment operators and related occupations","Type of work, all types",93905.0,1.826354,
2019-01-01,Canada,8,"Natural resources, agriculture and related production occupations",Full-time,18245.0,1.826354,
2019-01-01,Canada,8,"Natural resources, agriculture and related production occupations",Part-time,2360.0,1.826354,
2019-01-01,Canada,8,"Natural resources, agriculture and related production occupations","Type of work, all types",20610.0,1.826354,
2019-01-01,Canada,9,Occupations in manufacturing and utilities,Full-time,26410.0,1.826354,
2019-01-01,Canada,9,Occupations in manufacturing and utilities,Part-time,1315.0,1.826354,
2019-01-01,Canada,9,Occupations in manufacturing and utilities,"Type of work, all types",27725.0,1.826354,
2019-01-01,Canada,101,"Total, all occupations",Full-time,376175.0,1.826354,
2019-01-01,Canada,101,"Total, all occupations",Part-time,132410.0,1.826354,
2019-01-01,Canada,101,"Total, all occupations","Type of work, all types",508585.0,1.826354,
2019-01-01,Manitoba,0,Legislative and senior management occupations,Full-time,30.0,1.826354,
2019-01-01,Manitoba,0,Legislative and senior management occupations,"Type of work, all types",30.0,1.826354,
2019-01-01,Manitoba,1,"Business, finance and administration occupations",Full-time,1375.0,1.826354,
2019-01-01,Manitoba,1,"Business, finance and administration occupations",Part-time,270.0,1.826354,
2019-01-01,Manitoba,1,"Business, finance and administration occupations","Type of work, all types",1645.0,1.826354,
2019-01-01,Manitoba,2,Natural and applied sciences and related occupations,Full-time,775.0,1.826354,
2019-01-01,Manitoba,2,Natural and applied sciences and related occupations,"Type of work, all types",790.0,1.826354,
2019-01-01,Manitoba,3,Health occupations,Full-time,815.0,1.826354,
2019-01-01,Manitoba,3,Health occupations,Part-time,1610.0,1.826354,
2019-01-01,Manitoba,3,Health occupations,"Type of work, all types",2425.0,1.826354,
2019-01-01,Manitoba,4,"Occupations in education, law and social, community and government services",Full-time,590.0,1.826354,
2019-01-01,Manitoba,4,"Occupations in education, law and social, community and government services",Part-time,615.0,1.826354,
2019-01-01,Manitoba,4,"Occupations in education, law and social, community and government services","Type of work, all types",1205.0,1.826354,
2019-01-01,Manitoba,5,"Occupations in art, culture, recreation and sport","Type of work, all types",165.0,1.826354,
2019-01-01,Manitoba,6,Sales and service occupations,Full-time,2425.0,1.826354,
2019-01-01,Manitoba,6,Sales and service occupations,Part-time,1380.0,1.826354,
2019-01-01,Manitoba,6,Sales and service occupations,"Type of work, all types",3805.0,1.826354,
2019-01-01,Manitoba,7,"Trades, transport and equipment operators and related occupations",Full-time,2795.0,1.826354,
2019-01-01,Manitoba,7,"Trades, transport and equipment operators and related occupations","Type of work, all types",3115.0,1.826354,
2019-01-01,Manitoba,9,Occupations in manufacturing and utilities,Full-time,425.0,1.826354,
2019-01-01,Manitoba,9,Occupations in manufacturing and utilities,Part-time,15.0,1.826354,
2019-01-01,Manitoba,9,Occupations in manufacturing and utilities,"Type of work, all types",440.0,1.826354,
2019-01-01,Manitoba,101,"Total, all occupations",Full-time,9890.0,1.826354,
2019-01-01,Manitoba,101,"Total, all occupations",Part-time,4365.0,1.826354,
2019-01-01,Manitoba,101,"Total, all occupations","Type of work, all types",14255.0,1.826354,
2019-01-01,New Brunswick,1,"Business, finance and administration occupations",Full-time,855.0,1.826354,
2019-01-01,New Brunswick,1,"Business, finance and administration occupations",Part-time,170.0,1.826354,
2019-01-01,New Brunswick,1,"Business, finance and administration occupations","Type of work, all types",1025.0,1.826354,
2019-01-01,New Brunswick,2,Natural and applied sciences and related occupations,Full-time,325.0,1.826354,
2019-01-01,New Brunswick,2,Natural and applied sciences and related occupations,"Type of work, all types",330.0,1.826354,
2019-01-01,New Brunswick,3,Health occupations,Full-time,255.0,1.826354,
2019-01-01,New Brunswick,3,Health occupations,Part-time,265.0,1.826354,
2019-01-01,New Brunswick,3,Health occupations,"Type of work, all types",515.0,1.826354,
2019-01-01,New Brunswick,4,"Occupations in education, law and social, community and government services",Full-time,430.0,1.826354,
2019-01-01,New Brunswick,4,"Occupations in education, law and social, community and government services",Part-time,205.0,1.826354,
2019-01-01,New Brunswick,4,"Occupations in education, law and social, community and government services","Type of work, all types",635.0,1.826354,
2019-01-01,New Brunswick,6,Sales and service occupations,Full-time,1805.0,1.826354,
2019-01-01,New Brunswick,6,Sales and service occupations,Part-time,885.0,1.826354,
2019-01-01,New Brunswick,6,Sales and service occupations,"Type of work, all types",2690.0,1.826354,
2019-01-01,New Brunswick,7,"Trades, transport and equipment operators and related occupations",Full-time,965.0,1.826354,
2019-01-01,New Brunswick,7,"Trades, transport and equipment operators and related occupations",Part-time,105.0,1.826354,
